time (s),inlet temp (K),outlet temp (K)
7336.5,746.443048938973,757.54183939454
7337,746.355886212648,757.430625524401
7337.5,746.269807277487,757.320854746687
7338,746.184750286711,757.212601826428
7338.5,746.100747636253,757.105809227669
7339,746.017825831874,757.00050830686
7339.5,745.935961312896,756.89662665186
7340,745.855177639998,756.794010194643
7340.5,745.775448307417,756.692535771988
7341,745.696802766,756.592079734872
7341.5,745.619241015747,756.492667291824
7342,745.542763056657,756.394366567796
7342.5,745.467339437885,756.297104096553
7343,745.393032006209,756.200793472913
7343.5,745.319805420611,756.10539869487
7344,745.247665571262,756.010666759366
7344.5,745.176638963924,755.916477738311
7345,745.106699092835,755.822575048241
7345.5,745.037843012909,755.728929988467
7346,744.970129625841,755.635563304853
7346.5,744.903502975022,755.542502928604
7347,744.837960115366,755.449914181122
7347.5,744.773562893653,755.357977991561
7348,744.710281859035,755.266755520828
7348.5,744.648084615582,755.176208039395
7349,744.58703301007,755.086107069944
7349.5,744.527097591654,754.996028309928
7350,744.468304866096,754.905803771591
7350.5,744.410601821871,754.815203729009
7351,744.354041470503,754.725483347178
7351.5,744.298626757078,754.636581185558
7352,744.244328230748,754.548592785471
7352.5,744.191175342361,754.46139088146
7353,744.139165146831,754.374583358111
7353.5,744.088274083482,754.287872720187
7354,744.038528658074,754.201019702624
7354.5,743.989961266541,754.113910910239
7355,743.942507117018,754.026693901185
7355.5,743.896198605438,753.939580310922
7356,743.851038676884,753.852756421106
7356.5,743.807024386273,753.766440993653
7357,743.764185184451,753.680703178468
7357.5,743.722491620571,753.595703564886
7358,743.681946639719,753.511405982806
7358.5,743.642576747655,753.427789632489
7359,743.604323042687,753.344805930817
7359.5,743.56727682244,753.262503745758
7360,743.531376240135,753.180944863699
7360.5,743.496624240857,753.10008756674
7361,743.463047330368,753.019916921265
7361.5,743.430645508668,752.94055141015
7362,743.399424665927,752.861397214922
7362.5,743.369346516043,752.783461852812
7363,743.340446400033,752.706382640458
7363.5,743.31269486705,752.630251669349
7364,743.286147873703,752.555151997155
7364.5,743.260749463384,752.481084698159
7365,743.236558537784,752.408119519005
7365.5,743.213513250127,752.336257297932
